player-name,all-time-runs-scored,all-time-average,all-time-strike-rate,all-time-100s,all-time-50s,all-time-4s,all-time-6s,all-time-wkts,all-time-ave,all-time-econ,all-time-sr,all-time-catches,ipl-last-n-runs-scored,ipl-last-n-average,ipl-last-n-strike-rate,ipl-last-n-4s,ipl-last-n-6s,ipl-last-n-wkts,ipl-last-n-ave,ipl-last-n-econ,ipl-last-n-sr,ipl-last-n-catches,ipl-last-n-run-outs,ipl-last-n-points,ipl-1-runs-scored,ipl-1-average,ipl-1-strike-rate,ipl-1-4s,ipl-1-6s,ipl-1-wkts,ipl-1-ave,ipl-1-econ,ipl-1-sr,ipl-1-catches,ipl-1-run-outs,ipl-1-points,ipl-2-runs-scored,ipl-2-average,ipl-2-strike-rate,ipl-2-4s,ipl-2-6s,ipl-2-wkts,ipl-2-ave,ipl-2-econ,ipl-2-sr,ipl-2-catches,ipl-2-run-outs,ipl-2-points,ipl-3-runs-scored,ipl-3-average,ipl-3-strike-rate,ipl-3-4s,ipl-3-6s,ipl-3-wkts,ipl-3-ave,ipl-3-econ,ipl-3-sr,ipl-3-catches,ipl-3-run-outs,ipl-3-points,ipl-4-runs-scored,ipl-4-average,ipl-4-strike-rate,ipl-4-4s,ipl-4-6s,ipl-4-wkts,ipl-4-ave,ipl-4-econ,ipl-4-sr,ipl-4-catches,ipl-4-run-outs,ipl-4-points,ipl-5-runs-scored,ipl-5-average,ipl-5-strike-rate,ipl-5-4s,ipl-5-6s,ipl-5-wkts,ipl-5-ave,ipl-5-econ,ipl-5-sr,ipl-5-catches,ipl-5-run-outs,ipl-5-points,ipl-6-runs-scored,ipl-6-average,ipl-6-strike-rate,ipl-6-4s,ipl-6-6s,ipl-6-wkts,ipl-6-ave,ipl-6-econ,ipl-6-sr,ipl-6-catches,ipl-6-run-outs,ipl-6-points,ipl-7-runs-scored,ipl-7-average,ipl-7-strike-rate,ipl-7-4s,ipl-7-6s,ipl-7-wkts,ipl-7-ave,ipl-7-econ,ipl-7-sr,ipl-7-catches,ipl-7-run-outs,ipl-7-points,ipl-8-runs-scored,ipl-8-average,ipl-8-strike-rate,ipl-8-4s,ipl-8-6s,ipl-8-wkts,ipl-8-ave,ipl-8-econ,ipl-8-sr,ipl-8-catches,ipl-8-run-outs,ipl-8-points,ipl-9-runs-scored,ipl-9-average,ipl-9-strike-rate,ipl-9-4s,ipl-9-6s,ipl-9-wkts,ipl-9-ave,ipl-9-econ,ipl-9-sr,ipl-9-catches,ipl-9-run-outs,ipl-9-points,ipl-10-runs-scored,ipl-10-average,ipl-10-strike-rate,ipl-10-4s,ipl-10-6s,ipl-10-wkts,ipl-10-ave,ipl-10-econ,ipl-10-sr,ipl-10-catches,ipl-10-run-outs,ipl-10-points,Average Points,Average Batting-Runs,Average wicket per match,Average sr,Average bowl econ,Matches played,points
prabhsimran-singh,622.0,31.1,136.7,0.0,5.0,56.0,33.0,0.0,0.0,0.0,0.0,17.0,38.0,9.5,97.43589743589743,4.0,1.0,0.0,-1.0,-1.0,-1.0,4.0,0.0,84.0,7.0,7.0,100.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,8.0,4.0,4.0,57.142857142857146,0.0,0.0,0.0,-1.0,-1.0,-1.0,3.0,0.0,36.0,11.0,11.0,137.5,2.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,13.0,16.0,16.0,94.11764705882354,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,27.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,19.6,10.0,0.0,92.75,0.0,5,14
mayank-agarwal,3653.0,26.47,135.19,2.0,22.0,355.0,133.0,0.0,0.0,8.0,0.0,58.0,248.0,24.8,134.05405405405406,26.0,10.0,0.0,-1.0,-1.0,-1.0,4.0,0.0,358.0,31.0,31.0,91.17647058823529,1.0,2.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,40.0,25.0,25.0,125.0,4.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,31.0,22.0,22.0,88.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,32.0,69.0,69.0,191.66666666666666,7.0,4.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-2.0,14.0,14.0,155.55555555555554,2.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,16.0,26.0,26.0,173.33333333333334,5.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,37.0,5.0,5.0,55.55555555555556,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.0,0.0,21.0,11.0,11.0,110.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,20.0,45.0,45.0,180.0,4.0,3.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,65.0,37.28888888888889,25.822222222222223,0.0,121.62644444444442,0.0,45,137
shahrukh-khan,400.0,19.04,130.29,0.0,0.0,31.0,22.0,2.0,51.5,7.72,40.0,18.0,103.0,25.75,130.37974683544303,7.0,6.0,0.0,-1.0,-1.0,-1.0,3.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-2.0,13.0,13.0,92.85714285714286,0.0,1.0,0.0,-1.0,-1.0,-1.0,2.0,0.0,31.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,22.0,22.0,129.41176470588235,0.0,2.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,26.0,15.0,-1.0,300.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,19.0,47.0,47.0,130.55555555555554,4.0,2.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,69.0,6.0,-1.0,150.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,7.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,19.25,13.375,0.0,126.11571428571428,0.0,8,4
harpreet-brar,106.0,15.14,123.25,0.0,0.0,8.0,6.0,25.0,18.55,6.79,16.4,2.0,45.0,-1.0,155.17241379310346,3.0,3.0,3.0,36.0,8.307692307692308,26.0,1.0,0.0,169.0,25.0,-1.0,147.05882352941177,1.0,2.0,3.0,6.333333333333333,1.5833333333333333,3.944444444444444,1.0,0.0,151.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,-2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.3333333333333333,-1.0,0.0,0.0,0.0,20.0,-1.0,166.66666666666666,2.0,1.0,0.0,-1.0,-0.5,-1.0,0.0,0.0,20.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,41.8,9.8,0.8,171.23666666666668,8.266,5,40
riley-meredith,9.0,1.8,69.23,0.0,0.0,1.0,0.0,51.0,24.86,8.23,18.1,7.0,0.0,-1.0,-1.0,0.0,0.0,3.0,44.666666666666664,10.46875,26.666666666666668,0.0,0.0,75.0,0.0,-1.0,-1.0,0.0,0.0,1.0,29.0,9.0625,54.625,0.0,0.0,33.0,0.0,-1.0,-1.0,0.0,0.0,1.0,35.0,15.909090909090908,99.0909090909091,0.0,0.0,19.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.29411764705882354,-1.0,0.0,0.0,4.0,0.0,-1.0,-1.0,0.0,0.0,1.0,49.0,12.25,74.5,0.0,0.0,19.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,20.0,0.0,0.8,0.0,10.24,5,25
ravi-bishnoi,57.0,8.14,80.28,0.0,0.0,7.0,1.0,33.0,23.45,6.67,21.0,11.0,1.0,1.0,25.0,0.0,0.0,8.0,27.625,6.138888888888889,27.0,2.0,1.0,287.0,0.0,-1.0,-1.0,0.0,0.0,2.0,8.5,2.125,6.625,1.0,0.0,72.0,1.0,1.0,25.0,0.0,0.0,0.0,-1.0,-0.25,-1.0,1.0,0.0,15.0,0.0,-1.0,-1.0,0.0,0.0,2.0,10.5,2.625,9.125,0.0,0.0,54.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,2.0,0.0,-1.0,-1.0,0.0,0.0,2.0,10.0,2.5,8.5,0.0,0.0,74.0,0.0,-1.0,-1.0,0.0,0.0,1.0,13.0,3.25,20.5,0.0,1.0,43.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.3333333333333333,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,12.0,6.0,36.0,0.0,0.0,27.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.3333333333333333,-1.0,0.0,0.0,0.0,30.833333333333332,0.4444444444444444,0.8888888888888888,43.56999999999999,7.142777777777778,18,-2
deepak-hooda,1834.0,22.09,136.05,1.0,9.0,115.0,85.0,17.0,49.11,7.71,38.1,57.0,178.0,35.6,160.36036036036037,10.0,12.0,2.0,44.0,7.333333333333333,36.0,6.0,0.0,348.0,5.0,5.0,55.55555555555556,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,5.0,1.0,1.0,25.0,0.0,0.0,1.0,20.0,10.0,60.0,0.0,0.0,26.0,0.0,-1.0,-1.0,0.0,0.0,1.0,15.0,5.0,30.0,1.0,0.0,37.0,13.0,13.0,118.18181818181819,2.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,19.0,22.0,-1.0,169.23076923076923,0.0,2.0,0.0,-1.0,-0.5,-1.0,1.0,0.0,38.0,10.0,10.0,66.66666666666667,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,17.0,64.0,64.0,228.57142857142858,4.0,6.0,0.0,-1.0,-1.0,-1.0,2.0,0.0,110.0,62.0,-1.0,206.66666666666666,3.0,4.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,87.0,1.0,-1.0,100.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,9.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,20.733333333333334,9.911111111111111,0.1111111111111111,118.08151515151516,2.8222222222222224,45,5
mohammed-shami,81.0,5.78,93.1,0.0,0.0,6.0,2.0,119.0,26.47,8.4,18.8,21.0,13.0,13.0,76.47058823529412,0.0,0.0,11.0,27.0,8.159340659340659,20.0,1.0,0.0,308.0,0.0,-1.0,-1.0,0.0,0.0,1.0,28.0,8.23529411764706,50.352941176470594,0.0,0.0,25.0,1.0,-1.0,50.0,0.0,0.0,1.0,25.0,6.25,38.5,0.0,0.0,36.0,0.0,-1.0,-1.0,0.0,0.0,2.0,10.5,2.625,9.125,0.0,0.0,54.0,3.0,3.0,100.0,0.0,0.0,0.0,-1.0,-0.5,-1.0,0.0,0.0,3.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,-6.0,9.0,-1.0,75.0,0.0,0.0,2.0,10.5,2.625,9.125,0.0,0.0,63.0,0.0,-1.0,-1.0,0.0,0.0,2.0,16.5,4.125,12.625,1.0,0.0,58.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.3333333333333333,-1.0,0.0,0.0,-4.0,0.0,-1.0,-1.0,0.0,0.0,3.0,11.666666666666666,2.9166666666666665,7.0555555555555545,0.0,0.0,79.0,35.680851063829785,1.2127659574468086,1.1702127659574468,92.30692307692308,8.82,47,-6
dawid-malan,6291.0,33.28,128.25,5.0,36.0,628.0,188.0,23.0,31.39,7.64,24.6,83.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,37.0,26.0,0.0,100.0,0.0,1,37
chris-gayle,13898.0,37.86,146.41,22.0,86.0,1073.0,1017.0,80.0,31.16,7.64,24.4,94.0,327.0,36.333333333333336,139.14893617021278,27.0,20.0,0.0,-1.0,10.0,-1.0,3.0,0.0,460.0,46.0,46.0,191.66666666666666,6.0,2.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-2.0,43.0,-1.0,122.85714285714286,5.0,2.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,64.0,15.0,15.0,88.23529411764706,2.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,17.0,11.0,11.0,122.22222222222223,0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,21.0,10.0,10.0,100.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,12.0,40.0,40.0,142.85714285714286,4.0,2.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,54.0,12.0,12.0,63.1578947368421,0.0,0.0,0.0,-1.0,-2.0,-1.0,0.0,0.0,10.0,99.0,99.0,157.14285714285714,6.0,8.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,133.0,51.0,51.0,175.86206896551724,2.0,5.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,85.0,44.1875,31.75,0.0,121.71750000000002,0.125,48,16
chris-jordan,1107.0,14.01,118.64,0.0,0.0,81.0,41.0,231.0,27.21,8.59,18.9,123.0,54.0,18.0,125.5813953488372,3.0,3.0,10.0,30.3,8.833819241982509,20.7,3.0,0.0,355.0,0.0,-1.0,-1.0,0.0,0.0,1.0,31.0,7.75,49.5,0.0,0.0,25.0,30.0,30.0,166.66666666666666,1.0,3.0,0.0,-1.0,-0.3333333333333333,-1.0,0.0,0.0,41.0,4.0,-1.0,80.0,0.0,0.0,1.0,31.0,10.333333333333334,63.33333333333334,0.0,0.0,27.0,0.0,-1.0,-1.0,0.0,0.0,1.0,44.0,13.333333333333334,81.33333333333334,0.0,0.0,19.0,0.0,-1.0,-1.0,0.0,0.0,2.0,12.5,3.125,9.625,0.0,0.0,68.0,7.0,7.0,58.333333333333336,0.0,0.0,3.0,5.666666666666667,1.4166666666666667,3.3888888888888893,2.0,0.0,108.0,13.0,13.0,162.5,2.0,0.0,1.0,32.0,10.666666666666666,66.66666666666666,0.0,0.0,38.0,0.0,-1.0,-1.0,0.0,0.0,1.0,20.0,6.666666666666667,42.66666666666667,1.0,0.0,35.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.3333333333333333,-1.0,0.0,0.0,-6.0,30.0,4.357142857142857,0.8571428571428571,88.21142857142857,9.355,14,25
prithvi-shaw,1508.0,25.55,150.19,0.0,13.0,169.0,66.0,0.0,0.0,0.0,0.0,13.0,288.0,28.8,158.24175824175825,38.0,9.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,398.0,82.0,82.0,200.0,11.0,3.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,113.0,21.0,21.0,116.66666666666667,3.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,24.0,53.0,53.0,135.89743589743588,7.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,72.0,7.0,7.0,140.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,8.0,32.0,32.0,188.23529411764707,3.0,2.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,49.0,2.0,2.0,40.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.0,72.0,72.0,189.47368421052633,9.0,3.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-2.0,9.0,9.0,150.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,19.0,10.0,10.0,90.9090909090909,2.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,12.0,34.82608695652174,24.652173913043477,0.0,120.61760869565217,0.0,46,58
ishant-sharma,65.0,8.12,83.33,0.0,0.0,5.0,2.0,112.0,35.16,7.8,27.0,29.0,10.0,-1.0,333.3333333333333,1.0,1.0,9.0,33.0,7.815789473684211,25.333333333333332,1.0,0.0,294.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,26.0,6.5,41.0,0.0,0.0,47.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.3333333333333333,-1.0,0.0,0.0,0.0,10.0,-1.0,333.3333333333333,1.0,1.0,1.0,24.0,6.0,36.0,0.0,0.0,40.0,0.0,-1.0,-1.0,0.0,0.0,2.0,17.0,4.25,13.25,0.0,0.0,58.0,0.0,-1.0,-1.0,0.0,0.0,3.0,12.666666666666666,3.1666666666666665,6.5555555555555545,1.0,0.0,95.0,0.0,-1.0,-1.0,0.0,0.0,1.0,40.0,10.0,60.0,0.0,0.0,25.0,0.0,-1.0,-1.0,0.0,0.0,1.0,29.0,7.25,44.5,0.0,0.0,25.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.3333333333333333,-1.0,0.0,0.0,4.0,20.08695652173913,0.782608695652174,0.6086956521739131,160.83249999999998,8.234347826086957,23,12
shikhar-dhawan,8482.0,32.74,125.38,2.0,63.0,958.0,191.0,4.0,16.5,8.25,12.0,118.0,404.0,40.4,134.21926910299004,46.0,8.0,0.0,-1.0,-1.0,-1.0,9.0,0.0,590.0,46.0,46.0,97.87234042553192,4.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,56.0,6.0,6.0,85.71428571428571,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,7.0,28.0,28.0,107.6923076923077,3.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,39.0,45.0,45.0,107.14285714285714,5.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,56.0,92.0,92.0,187.75510204081633,13.0,2.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,131.0,9.0,9.0,81.81818181818181,1.0,0.0,0.0,-1.0,-1.0,-1.0,3.0,0.0,38.0,85.0,85.0,157.40740740740742,10.0,2.0,0.0,-1.0,-1.0,-1.0,3.0,0.0,139.0,15.0,15.0,115.38461538461539,3.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,18.0,78.0,78.0,156.0,6.0,2.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,6.0,49.816901408450704,35.140845070422536,0.0,117.28845070422534,0.0,71,89
shimron-hetmyer,1669.0,25.67,132.88,1.0,9.0,125.0,86.0,0.0,0.0,0.0,0.0,45.0,152.0,30.4,160.0,13.0,6.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,201.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,53.0,-1.0,212.0,2.0,4.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,77.0,1.0,1.0,50.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,14.0,-1.0,155.55555555555554,2.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,16.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5.0,5.0,100.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,6.0,42.0,-1.0,190.9090909090909,4.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,58.0,11.0,11.0,84.61538461538461,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,12.0,16.0,16.0,123.07692307692308,3.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,19.0,10.0,10.0,200.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,12.0,25.17391304347826,15.608695652173912,0.0,130.96571428571428,0.0,23,35
lalit-yadav,614.0,38.37,142.79,0.0,1.0,61.0,23.0,30.0,26.6,6.78,23.5,25.0,54.0,54.0,98.18181818181819,6.0,0.0,3.0,13.666666666666666,5.125,16.0,3.0,0.0,187.0,0.0,-1.0,-1.0,0.0,0.0,2.0,6.5,2.1666666666666665,6.833333333333332,1.0,0.0,72.0,22.0,-1.0,88.0,1.0,0.0,1.0,17.0,4.25,26.5,0.0,0.0,62.0,12.0,-1.0,200.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,14.0,20.0,20.0,83.33333333333333,3.0,0.0,0.0,-1.0,-1.0,-1.0,2.0,0.0,39.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,39.0,10.8,0.6,123.77666666666666,5.582,5,8
rishabh-pant,3333.0,32.67,147.93,2.0,20.0,300.0,158.0,0.0,0.0,0.0,0.0,95.0,260.0,37.142857142857146,129.35323383084577,28.0,5.0,0.0,-1.0,-1.0,-1.0,8.0,0.0,414.0,16.0,16.0,200.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,20.0,58.0,-1.0,120.83333333333333,6.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,72.0,37.0,37.0,137.03703703703704,4.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,61.0,7.0,7.0,87.5,1.0,0.0,0.0,-1.0,-1.0,-1.0,3.0,0.0,36.0,15.0,15.0,93.75,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,17.0,51.0,51.0,159.375,9.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,80.0,15.0,-1.0,125.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,29.0,56.0,56.0,147.3684210526316,4.0,2.0,0.0,-1.0,-1.0,-1.0,2.0,0.0,94.0,2.0,-1.0,66.66666666666667,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.0,3.0,3.0,33.333333333333336,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,3.0,51.323076923076925,32.16923076923077,0.0,134.53476923076923,0.0,65,17
avesh-khan,13.0,2.6,59.09,0.0,0.0,2.0,0.0,46.0,23.0,8.2,16.8,8.0,4.0,-1.0,133.33333333333334,1.0,0.0,13.0,22.46153846153846,8.342857142857143,16.153846153846153,1.0,0.0,376.0,0.0,-1.0,-1.0,0.0,0.0,1.0,31.0,7.75,49.5,0.0,0.0,25.0,0.0,-1.0,-1.0,0.0,0.0,1.0,24.0,6.0,36.0,0.0,0.0,35.0,0.0,-1.0,-1.0,0.0,0.0,3.0,11.333333333333334,2.8333333333333335,6.777777777777779,0.0,0.0,87.0,0.0,-1.0,-1.0,0.0,0.0,2.0,7.5,3.75,12.75,0.0,0.0,50.0,0.0,-1.0,-1.0,0.0,0.0,1.0,33.0,8.25,50.5,0.0,0.0,25.0,0.0,-1.0,-1.0,0.0,0.0,3.0,10.666666666666666,2.6666666666666665,6.222222222222221,0.0,0.0,79.0,0.0,-1.0,-1.0,0.0,0.0,2.0,11.5,2.875,10.375,0.0,0.0,70.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,-2.0,4.0,-1.0,133.33333333333334,1.0,0.0,0.0,-1.0,-0.3333333333333333,-1.0,1.0,0.0,13.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.5,-1.0,0.0,0.0,-6.0,32.35294117647059,0.23529411764705882,1.1176470588235294,133.33,9.332941176470587,17,25
